Name	Address	latitude	longitude
Eggettes	47 S B St, San Mateo	37.493718	-122.238321
Gong Cha	110 S B St, San Mateo	37.566839	-122.323996
Ocha Tea Cafe	2986 S Norfolk St, San Mateo	37.54506	-122.283843
Chatime	165 E 4th Ave, San Mateo	37.48197	-122.199559
Dessert Republic	138 Main St, San Mateo	37.37975	-122.115007
Quickly	142 E 3rd Ave, San Mateo	37.568492	-122.318065
Fresh Nation Desserts	30 E 3rd Ave, San Mateo	37.457376	-122.434891
Teaspoon	128 E 3rd Ave, San Mateo	37.457376	-122.434891
Super Cue Cafe	2986 S Norfolk St, San Mateo	37.54506	-122.283843
Eggettes	639 El Camino Real, South San Francisco	37.666948	-122.451477
Quickly	375 Grand Ave, South San Francisco	37.65547	-122.411848
Bambu	2223 Gellert Blvd, South San Francisco	37.6439	-122.453111
Cool Tea Bar	630 El Camino Real, South San Francisco	37.666948	-122.451477
Aqua Club Dessert	440 San Mateo Ave, San Bruno	37.622558	-122.411138
Raging Boba	719 Camino Plaza, San Bruno 	37.627599	-122.416499
Quickly	1212-A El Camino Real, San Bruno	37.633629	-122.419597
Boba Guys	872 Laurel St, San Carlos	37.502884	-122.256997
i-Tea	760 E Calaveras Blvd, Milpitas	37.433567	-121.892832
Teaspoon	201 W Calaveras Blvd, Milpitas	37.427345	-121.910614
Fantasia Coffee & Tea	528 Barber Ln, Milpitas	37.417141	-121.915091
Tea Ren Tea Co	1732 N Milpitas Blvd, Milpitas	37.457421	-121.911548
BCute Tea	200 Serra Way, Milpitas	37.427719	-121.908685
T4	540 Barber Ln, Milpitas	37.417231	-121.915146
Tapioca Express	1710 N Milpitas Blvd, Milpitas	37.457421	-121.911548
Tea Villa	1679 N Milpitas Blvd, Milpitas	37.457421	-121.911548
Sno-Crave Teahouse	1777 N Milpitas Blvd, Milpitas	37.457421	-121.911548
Bambu	89 S Park Victoria Dr, Milpitas	37.418651	-121.875783
Teasociety	55 N Milpitas Blvd, Milpitas	37.432991	-121.899982
Quickly	1350 S Park Victoria Dr, Milpitas	37.418205	-121.875591
Chick & Tea	1723 N Milpitas Blvd, Milpitas	37.457421	-121.911548
Simpletea	1535 Landess Ave, Milpitas	37.415608	-121.876788
Tea Top	82 Ranch Dr, Milpitas	37.423633	-121.925233
Sancha Bar	279 Jacklin Rd, Milpitas	37.446379	-121.903901
Queen's Cafe	372 Barber Ln, Milpitas	37.41597	-121.914377
Golden Bakery	30 S Park Victoria Dr, Milpitas	37.418651	-121.875783
The Moo Bar	1080 Kiely Blvd, Santa Cruz	37.346121	-121.977794
Sharetea	1171 Homestead Rd, Santa Cruz	37.337953	-121.97811
Jazen Tea	3147 Mission College Blvd, Santa Cruz	37.38938	-121.983616
Fantasia	3969 Rivermark Plz, Santa Cruz	37.395624	-121.947764
Bubble Bay Tea	4300 Great America Pkwy, Santa Cruz	37.392937	-121.977496
U Tea	1295 E Dunne Ave, Morgan Hill	37.133688	-121.629205
Bee & Tea	1053 Cochrane Rd, Morgan Hill	37.153577	-121.65159
